Date, Open, High, Low, Close
2/4/2021,2160.77,2202.42,2160.77,2202.42
2/3/2021,2151.46,2163.36,2135.78,2159.7
2/2/2021,2127.31,2154.54,2126.45,2151.44
2/1/2021,2075.01,2130.69,2075.01,2126.16
1/29/2021,2106.78,2124.62,2066.59,2073.64
1/28/2021,2111.29,2138.2,2094.78,2106.61
1/27/2021,2146.66,2146.66,2088.01,2108.7
1/26/2021,2165.46,2183.01,2146.34,2149.86
1/25/2021,2168.72,2194.86,2135.22,2163.27
1/22/2021,2140.49,2168.8,2118.77,2168.76
1/21/2021,2161.3,2167.03,2138.03,2141.42
1/20/2021,2152.3,2173.73,2149.99,2160.62
1/19/2021,2125.51,2152.35,2125.51,2151.14
1/18/2021,2114.34,2137.25,2110.34,2134.1
1/15/2021,2154.69,2154.69,2102.53,2123.2
1/14/2021,2113.63,2164.32,2113.63,2155.35
1/13/2021,2128.17,2131.42,2109.72,2111.97
1/12/2021,2091.79,2128.39,2091.79,2127.96
1/11/2021,2088.8,2095.4,2061.64,2091.01
1/8/2021,2098.45,2113.88,2064.61,2091.66
1/7/2021,2059.33,2099.26,2059.33,2096.89
1/6/2021,1980.29,2079.72,1980.29,2057.92
1/5/2021,1975.78,1990.69,1927.15,1979.11
1/4/2021,1975.78,1990.69,1927.15,1945.91
12/31/2020,1979.93,1981.41,1963.26,1974.86
12/30/2020,1961.72,1987.78,1961.72,1979.99
12/29/2020,1996.72,2001.7,1950.82,1959.36
12/28/2020,2013.49,2026.24,1996.25,1996.25
12/24/2020,2013.18,2013.97,1997.18,2003.95
12/23/2020,1991.1,2011.84,1991.1,2007.1
12/22/2020,1971.18,1992.5,1971.18,1989.88
12/21/2020,1967.93,1970.67,1934.66,1970.33
12/18/2020,1978.88,1992.72,1965.67,1969.99
12/17/2020,1953.76,1978.05,1953.76,1978.05
12/16/2020,1961.26,1966.11,1947.05,1952.72
12/15/2020,1915.89,1960.81,1915.89,1959.76
12/14/2020,1914.15,1944.12,1913.86,1913.86
12/11/2020,1921.27,1926.73,1896.02,1911.7
12/10/2020,1901.34,1924.12,1887.69,1922.7
12/9/2020,1919.16,1935.27,1889.33,1902.15
12/8/2020,1890.57,1918.01,1881.69,1917.78
12/7/2020,1892.72,1897.44,1886.78,1891.25
12/4/2020,1849.98,1892.45,1849.98,1892.45
12/3/2020,1838.52,1860.35,1838.52,1848.7
12/2/2020,1833.08,1842.53,1817.02,1838.03
12/1/2020,1822.92,1848.02,1822.92,1836.05
11/30/2020,1854.87,1854.87,1813.56,1819.82
11/27/2020,1846.26,1855.27,1845.5,1855.27
11/26/2020,1848.29,1853.79,1830.59,1830.59
11/25/2020,1852.62,1852.62,1831.95,1845.02
11/24/2020,1819.52,1862.17,1819.52,1853.53
11/23/2020,1787.24,1827.6,1787.24,1818.3
11/20/2020,1782.15,1787.39,1771.13,1785.34
11/19/2020,1769.25,1784.64,1764.2,1784.13
11/18/2020,1792.76,1805.2,1769.32,1769.32
11/17/2020,1783.09,1795.89,1755.34,1791.91
11/16/2020,1747.02,1785.34,1747.02,1785.34
11/13/2020,1710.05,1749.36,1710.05,1744.04
11/12/2020,1735.99,1735.99,1696.65,1708.47
11/11/2020,1738.88,1746.31,1722.22,1736.93
11/10/2020,1706.45,1741.83,1706.45,1737.01
11/9/2020,1652.11,1745.69,1652.11,1705.04
11/6/2020,1660.78,1667.15,1644.16,1644.16
11/5/2020,1616.65,1664.12,1616.65,1660.05
11/4/2020,1612.98,1631.31,1598.56,1615.08
11/3/2020,1571.94,1620.77,1571.94,1614.3
11/2/2020,1540.86,1568.59,1540.86,1568.59
10/30/2020,1559.69,1559.69,1526.22,1538.48
10/29/2020,1543.06,1566.39,1532.23,1561.58
10/28/2020,1586.77,1586.77,1542.54,1543.28
10/27/2020,1605.67,1609.53,1590.71,1590.48
10/26/2020,1635.22,1635.22,1586.89,1605.21
10/23/2020,1634.06,1641.48,1626.32,1640.5
10/22/2020,1604.95,1631.97,1603.96,1630.25
10/21/2020,1618.34,1621.88,1603.77,1603.78
10/20/2020,1620.57,1632.76,1615.99,1617.71
10/19/2020,1636.84,1647.05,1612.22,1613.63
10/16/2020,1638.48,1646.25,1633.8,1633.81
10/15/2020,1618.88,1641,1598.49,1638.88
10/14/2020,1637.97,1647.99,1621.56,1621.65
10/13/2020,1647.57,1647.57,1631.6,1636.85
10/12/2020,1642.46,1652.05,1637.35,1649.05
10/9/2020,1630.71,1645.04,1630.71,1637.55
10/8/2020,1615.27,1630.33,1615.27,1628.55
10/7/2020,1581.12,1614.61,1581.12,1611.04
10/6/2020,1584.49,1619.21,1577.29,1577.29
10/5/2020,1541.2,1582.66,1541.2,1581.96
10/2/2020,1527.59,1544.5,1498.12,1539.3
10/1/2020,1508.6,1531.92,1508.6,1531.2
9/30/2020,1504.84,1528.01,1498.29,1507.69
9/29/2020,1510.2,1512.22,1492.52,1504.73
9/28/2020,1477.43,1514.33,1477.43,1510.34
9/25/2020,1450.98,1478.95,1445.7,1474.91
9/24/2020,1450.84,1474.02,1432.57,1451.82
9/23/2020,1496.97,1503.98,1451.41,1451.46
9/22/2020,1486.05,1497.81,1474.49,1496.96
9/21/2020,1533.92,1533.92,1470.44,1485.25
9/18/2020,1544.34,1556.38,1519.76,1536.78
9/17/2020,1550.14,1550.14,1526.55,1542.6
9/16/2020,1539.27,1572.06,1539.27,1552.33
9/15/2020,1538.54,1551.02,1535.64,1538.15
9/14/2020,1499.38,1538.5,1499.38,1536.97
9/11/2020,1508.8,1515.97,1484.95,1497.27
