Date,Open,High,Low,Close,Range,bodyRange,bodyColor
02/09/2021,2289.64,2309.43,2281.93,2299.00,27.50,9.36,GREEN
02/08/2021,2234.35,2289.76,2234.35,2289.76,55.41,55.41,GREEN
02/05/2021,2202.95,2233.33,2202.95,2233.33,30.38,30.38,GREEN
02/04/2021,2160.77,2202.42,2160.77,2202.42,41.65,41.65,GREEN
02/03/2021,2151.46,2163.36,2135.78,2159.70,27.58,8.24,GREEN
02/02/2021,2127.31,2154.54,2126.45,2151.44,28.09,24.13,GREEN
02/01/2021,2075.01,2130.69,2075.01,2126.16,55.68,51.15,GREEN
01/29/21,2106.78,2124.62,2066.59,2073.64,58.03,-33.14,RED
01/28/21,2111.29,2138.20,2094.78,2106.61,43.42,-4.68,RED
01/27/21,2146.66,2146.66,2088.01,2108.70,58.65,-37.96,RED
01/26/21,2165.46,2183.01,2146.34,2149.86,36.67,-15.60,RED
01/25/21,2168.72,2194.86,2135.22,2163.27,59.64,-5.45,RED
01/22/21,2140.49,2168.80,2118.77,2168.76,50.03,28.27,GREEN
01/21/21,2161.30,2167.03,2138.03,2141.42,29.00,-19.88,RED
01/20/21,2152.30,2173.73,2149.99,2160.62,23.74,8.32,GREEN
01/19/21,2125.51,2152.35,2125.51,2151.14,26.84,25.63,GREEN
01/15/21,2154.69,2154.69,2102.53,2123.20,52.16,-31.49,RED
01/14/21,2113.63,2164.32,2113.63,2155.35,50.69,41.72,GREEN
01/13/21,2128.17,2131.42,2109.72,2111.97,21.70,-16.20,RED
01/12/2021,2091.79,2128.39,2091.79,2127.96,36.60,36.17,GREEN
01/11/2021,2088.80,2095.40,2061.64,2091.01,33.76,2.21,GREEN
01/08/2021,2098.45,2113.88,2064.61,2091.66,49.27,-6.79,RED
01/07/2021,2059.33,2099.26,2059.33,2096.89,39.93,37.56,GREEN
01/06/2021,1980.29,2079.72,1980.29,2057.92,99.43,77.63,GREEN
01/05/2021,1975.78,1990.69,1927.15,1979.11,63.54,3.33,GREEN
01/04/2021,1975.78,1990.69,1927.15,1945.91,63.54,-29.87,RED
12/31/20,1979.93,1981.41,1963.26,1974.86,18.15,-5.07,RED
12/30/20,1961.72,1987.78,1961.72,1979.99,26.06,18.27,GREEN
12/29/20,1996.72,2001.70,1950.82,1959.36,50.88,-37.36,RED
12/28/20,2013.49,2026.24,1996.25,1996.25,29.99,-17.24,RED
12/24/20,2013.18,2013.97,1997.18,2003.95,16.79,-9.23,RED
12/23/20,1991.10,2011.84,1991.10,2007.10,20.74,16.00,GREEN
12/22/20,1971.18,1992.50,1971.18,1989.88,21.32,18.70,GREEN
12/21/20,1967.93,1970.67,1934.66,1970.33,36.01,2.40,GREEN
12/18/20,1978.88,1992.72,1965.67,1969.99,27.05,-8.89,RED
12/17/20,1953.76,1978.05,1953.76,1978.05,24.29,24.29,GREEN
12/16/20,1961.26,1966.11,1947.05,1952.72,19.06,-8.54,RED
12/15/20,1915.89,1960.81,1915.89,1959.76,44.92,43.87,GREEN
12/14/20,1914.15,1944.12,1913.86,1913.86,30.26,-0.29,RED
12/11/2020,1921.27,1926.73,1896.02,1911.70,30.71,-9.57,RED
12/10/2020,1901.34,1924.12,1887.69,1922.70,36.43,21.36,GREEN
12/09/2020,1919.16,1935.27,1889.33,1902.15,45.94,-17.01,RED
12/08/2020,1890.57,1918.01,1881.69,1917.78,36.32,27.21,GREEN
12/07/2020,1892.72,1897.44,1886.78,1891.25,10.66,-1.47,RED
12/04/2020,1849.98,1892.45,1849.98,1892.45,42.47,42.47,GREEN
12/03/2020,1838.52,1860.35,1838.52,1848.70,21.83,10.18,GREEN
12/02/2020,1833.08,1842.53,1817.02,1838.03,25.51,4.95,GREEN
12/01/2020,1822.92,1848.02,1822.92,1836.05,25.10,13.13,GREEN
11/30/20,1854.87,1854.87,1813.56,1819.82,41.31,-35.05,RED
11/27/20,1846.26,1855.27,1845.50,1855.27,9.77,9.01,GREEN
11/25/20,1852.62,1852.62,1831.95,1845.02,20.67,-7.60,RED
11/24/20,1819.52,1862.17,1819.52,1853.53,42.65,34.01,GREEN
11/23/20,1787.24,1827.60,1787.24,1818.30,40.36,31.06,GREEN
11/20/20,1782.15,1787.39,1771.13,1785.34,16.26,3.19,GREEN
11/19/20,1769.25,1784.64,1764.20,1784.13,20.44,14.88,GREEN
11/18/20,1792.76,1805.20,1769.32,1769.32,35.88,-23.44,RED
11/17/20,1783.09,1795.89,1755.34,1791.91,40.55,8.82,GREEN
11/16/20,1747.02,1785.34,1747.02,1785.34,38.32,38.32,GREEN
11/13/20,1710.05,1749.36,1710.05,1744.04,39.31,33.99,GREEN
11/12/2020,1735.99,1735.99,1696.65,1708.47,39.34,-27.52,RED
11/11/2020,1738.88,1746.31,1722.22,1736.93,24.09,-1.95,RED
11/10/2020,1706.45,1741.83,1706.45,1737.01,35.38,30.56,GREEN
11/09/2020,1652.11,1745.69,1652.11,1705.04,93.58,52.93,GREEN
11/06/2020,1660.78,1667.15,1644.16,1644.16,22.99,-16.62,RED
11/05/2020,1616.65,1664.12,1616.65,1660.05,47.47,43.40,GREEN
11/04/2020,1612.98,1631.31,1598.56,1615.08,32.75,2.10,GREEN
11/03/2020,1571.94,1620.77,1571.94,1614.30,48.83,42.36,GREEN
11/02/2020,1540.86,1568.59,1540.86,1568.59,27.73,27.73,GREEN
10/30/20,1559.69,1559.69,1526.22,1538.48,33.47,-21.21,RED
10/29/20,1543.06,1566.39,1532.23,1561.58,34.16,18.52,GREEN
10/28/20,1586.77,1586.77,1542.54,1543.28,44.23,-43.49,RED
10/27/20,1605.67,1609.53,1590.71,1590.48,18.82,-15.19,RED
10/26/20,1635.22,1635.22,1586.89,1605.21,48.33,-30.01,RED
10/23/20,1634.06,1641.48,1626.32,1640.50,15.16,6.44,GREEN
10/22/20,1604.95,1631.97,1603.96,1630.25,28.01,25.30,GREEN
10/21/20,1618.34,1621.88,1603.77,1603.78,18.11,-14.56,RED
10/20/20,1620.57,1632.76,1615.99,1617.71,16.77,-2.86,RED
10/19/20,1636.84,1647.05,1612.22,1613.63,34.83,-23.21,RED
10/16/20,1638.48,1646.25,1633.80,1633.81,12.45,-4.67,RED
10/15/20,1618.88,1641.00,1598.49,1638.88,42.51,20.00,GREEN
10/14/20,1637.97,1647.99,1621.56,1621.65,26.43,-16.32,RED
10/13/20,1647.57,1647.57,1631.60,1636.85,15.97,-10.72,RED
10/12/2020,1642.46,1652.05,1637.35,1649.05,14.70,6.59,GREEN
10/09/2020,1630.71,1645.04,1630.71,1637.55,14.33,6.84,GREEN
10/08/2020,1615.27,1630.33,1615.27,1628.55,15.06,13.28,GREEN
10/07/2020,1581.12,1614.61,1581.12,1611.04,33.49,29.92,GREEN
10/06/2020,1584.49,1619.21,1577.29,1577.29,41.92,-7.20,RED
10/05/2020,1541.20,1582.66,1541.20,1581.96,41.46,40.76,GREEN
10/02/2020,1527.59,1544.50,1498.12,1539.30,46.38,11.71,GREEN
10/01/2020,1508.60,1531.92,1508.60,1531.20,23.32,22.60,GREEN
09/30/20,1504.84,1528.01,1498.29,1507.69,29.72,2.85,GREEN
09/29/20,1510.20,1512.22,1492.52,1504.73,19.70,-5.47,RED
09/28/20,1477.43,1514.33,1477.43,1510.34,36.90,32.91,GREEN
09/25/20,1450.98,1478.95,1445.70,1474.91,33.25,23.93,GREEN
09/24/20,1450.84,1474.02,1432.57,1451.82,41.45,0.98,GREEN
09/23/20,1496.97,1503.98,1451.41,1451.46,52.57,-45.51,RED
09/22/20,1486.05,1497.81,1474.49,1496.96,23.32,10.91,GREEN
09/21/20,1533.92,1533.92,1470.44,1485.25,63.48,-48.67,RED
09/18/20,1544.34,1556.38,1519.76,1536.78,36.62,-7.56,RED
09/17/20,1550.14,1550.14,1526.55,1542.60,23.59,-7.54,RED
09/16/20,1539.27,1572.06,1539.27,1552.33,32.79,13.06,GREEN
09/15/20,1538.54,1551.02,1535.64,1538.15,15.38,-0.39,RED
09/14/20,1499.38,1538.50,1499.38,1536.97,39.12,37.59,GREEN
09/11/2020,1508.80,1515.97,1484.95,1497.27,31.02,-11.53,RED
09/10/2020,1526.87,1543.43,1507.73,1507.75,35.70,-19.12,RED
09/09/2020,1505.09,1532.91,1505.09,1526.48,27.82,21.39,GREEN
09/08/2020,1534.37,1534.37,1499.83,1504.59,34.54,-29.78,RED
09/04/2020,1546.64,1563.38,1501.52,1535.30,61.86,-11.34,RED
09/03/2020,1578.78,1595.04,1538.53,1544.68,56.51,-34.10,RED
09/02/2020,1578.78,1595.04,1567.43,1592.29,27.61,13.51,GREEN
09/01/2020,1561.10,1578.58,1554.19,1578.58,24.39,17.48,GREEN
08/31/20,1577.55,1577.55,1561.88,1561.88,15.67,-15.67,RED
08/28/20,1570.46,1578.34,1567.13,1578.34,11.21,7.88,GREEN
08/27/20,1561.36,1573.38,1555.27,1564.56,18.11,3.20,GREEN
08/26/20,1570.72,1572.57,1559.73,1560.19,12.84,-10.53,RED
08/25/20,1572.65,1574.24,1556.78,1571.21,17.46,-1.44,RED
08/24/20,1559.96,1568.73,1554.10,1568.47,14.63,8.51,GREEN
08/21/20,1563.37,1563.37,1545.36,1552.48,18.01,-10.89,RED
08/20/20,1567.77,1570.38,1554.46,1564.30,15.92,-3.47,RED
08/19/20,1570.44,1585.16,1569.98,1572.07,15.18,1.63,GREEN
08/18/20,1585.54,1585.54,1566.51,1569.77,19.03,-15.77,RED
08/17/20,1579.48,1586.52,1575.84,1585.47,10.68,5.99,GREEN
08/14/20,1575.78,1583.48,1567.88,1577.88,15.60,2.10,GREEN
08/13/20,1580.26,1590.09,1575.96,1579.79,14.13,-0.47,RED
08/12/2020,1577.90,1595.12,1574.25,1583.25,20.87,5.35,GREEN
08/11/2020,1587.57,1603.60,1570.70,1575.10,32.90,-12.47,RED
08/10/2020,1573.75,1593.83,1573.75,1584.67,20.08,10.92,GREEN
08/07/2020,1542.52,1569.27,1539.52,1569.18,29.75,26.66,GREEN
08/06/2020,1546.44,1550.47,1537.46,1544.62,13.01,-1.82,RED
08/05/2020,1521.79,1546.40,1521.79,1546.24,24.61,24.45,GREEN
08/04/2020,1506.53,1517.22,1501.58,1517.21,15.64,10.68,GREEN
08/03/2020,1485.49,1507.93,1483.37,1506.80,24.56,21.31,GREEN
07/31/20,1495.15,1495.15,1457.62,1480.43,37.53,-14.72,RED
07/30/20,1499.20,1499.20,1475.16,1495.10,24.04,-4.10,RED
07/29/20,1471.37,1501.86,1471.37,1500.63,30.49,29.26,GREEN
07/28/20,1484.37,1485.34,1469.55,1469.76,15.79,-14.61,RED
07/27/20,1468.23,1484.66,1464.48,1484.65,20.18,16.42,GREEN
07/24/20,1488.67,1488.67,1466.10,1467.56,22.57,-21.11,RED
07/23/20,1489.33,1507.24,1477.23,1490.20,30.01,0.87,GREEN
07/22/20,1486.43,1493.57,1478.88,1490.14,14.69,3.71,GREEN
07/21/20,1472.13,1496.73,1472.13,1487.51,24.60,15.38,GREEN
07/20/20,1471.67,1474.37,1461.30,1467.95,13.07,-3.72,RED
07/17/20,1467.87,1482.40,1464.71,1473.32,17.69,5.45,GREEN
07/16/20,1473.78,1473.78,1460.08,1467.56,13.70,-6.22,RED
07/15/20,1432.50,1485.05,1432.50,1478.27,52.55,45.77,GREEN
07/14/20,1403.13,1428.40,1393.90,1428.26,34.50,25.13,GREEN
07/13/20,1427.36,1452.32,1403.06,1403.57,49.26,-23.79,RED
07/10/2020,1398.92,1422.71,1395.65,1422.68,27.06,23.76,GREEN
07/09/2020,1427.44,1427.83,1384.10,1398.92,43.73,-28.52,RED
07/08/2020,1416.36,1431.83,1402.18,1427.40,29.65,11.04,GREEN
07/07/2020,1441.30,1441.30,1414.24,1416.00,27.06,-25.30,RED
07/06/2020,1435.95,1461.28,1435.95,1442.88,25.33,6.93,GREEN
07/02/2020,1433.39,1459.41,1428.55,1431.86,30.86,-1.53,RED
07/01/2020,1443.29,1451.46,1423.65,1427.31,27.81,-15.98,RED
06/30/20,1418.55,1444.12,1413.18,1441.37,30.94,22.82,GREEN
06/29/20,1383.04,1427.09,1381.04,1421.21,46.05,38.17,GREEN
06/26/20,1411.37,1411.37,1375.59,1378.78,35.78,-32.59,RED
06/25/20,1388.41,1413.71,1375.37,1413.32,38.34,24.91,GREEN
